Affected_data_volume;Criminal_investigation_exception;Date;company_industry;country;country_security_exception;data_category_Basic_personal_data;data_category_Children_data;data_category_Criminal_data;data_category_Financial_location_data;data_category_Special_category_data;data_processing_basis_Consent;data_processing_basis_Legal_obligation;data_processing_basis_Legitimate_interest;data_processing_basis_Performance_of_public_task;data_processing_basis_Protection_of_vital_interests;data_processing_basis_contract_performance;fine_amount;free_speech_exception;gdpr_clause;gdpr_conflict;violation_nature_Breach_of_Data_processing_principle;violation_nature_Breach_of_data_security;violation_nature_Violation_of_Data_processing_obligation;violation_nature_Violation_of_data_subject_rights;violation_result
unspecific;0;2020;Education;Netherlands;0;1;0;0;0;0;0;0;0;1;0;0;0;0;Article 6(1)(e);No conflict;0;0;0;0;0
unspecific;0;2020;Public sector;Estonia;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Article 58(2)(g);No conflict;0;0;0;1;1
unspecific;0;2019;Marketing;Spain;0;1;0;0;0;0;1;0;0;0;0;0;6000;0;Article 6.1;No conflict;1;0;0;0;1
1500000;0;2023;Medical;France;0;0;0;0;0;1;0;0;0;1;0;0;0;0;Article 6.1.e, Article 9.2.j;No conflict;0;0;0;0;0
unspecific;0;2019;Retail;Portugal;0;0;0;0;0;0;0;1;0;0;0;0;200000;0;Article 13;No conflict;1;0;0;1;1
unspecific;0;2020;Human resources;Slovenia;0;0;0;0;0;0;1;1;0;1;1;1;0;0;Article 6;No conflict;1;0;0;0;0
20000;0;2019;Retail;Denmark;0;1;0;0;1;0;0;1;0;0;0;1;0;0;Article 5(1)(f), Article 32(1);yes;1;1;1;0;1
13800;0;2020;Medical;Norway;0;1;0;0;0;1;0;1;0;1;0;0;6300;0;Article 32;No conflict;1;1;1;0;1
unspecific;0;2020;Public sector;Netherlands;0;1;1;0;0;0;0;0;0;0;0;0;0;0;Article 15;No conflict;0;0;0;1;1
unspecific;0;2022;Retail;Italy;0;1;0;0;0;0;0;0;0;0;0;0;10000;0;Article 12 in relation to Article 17;No conflict;0;0;0;1;1
unspecific;0;2022;Medical;Netherlands;0;0;1;0;0;1;0;0;0;0;0;0;0;0;Article 32 GDPR;No conflict;1;1;1;1;1
509;0;2022;Retail;Romania;0;1;0;0;1;0;1;0;0;0;0;0;9933;0;Article 32(4), Article 34;No conflict;1;1;1;1;1
